,1,2,3,4,5,6
345,4,9,12,30,31,33
346,6,20,22,30,32,33
347,10,12,18,28,34,37
348,1,7,9,21,31,36
349,1,4,8,27,28,33
350,10,12,13,24,25,31
351,22,24,26,27,28,29
352,1,6,13,21,25,28
353,1,3,18,19,25,30
354,3,5,10,11,18,23
355,5,6,8,18,20,30
356,18,19,28,30,32,35
357,5,12,15,22,24,31
358,13,14,21,24,27,30
359,7,8,18,23,25,37
360,5,15,26,28,32,37
361,2,13,22,23,25,30
362,1,13,25,27,33,37
363,9,16,22,26,30,36
364,5,8,10,12,14,22
365,20,21,23,26,29,33
366,10,11,14,19,24,35
367,2,7,12,20,21,29
368,8,9,13,24,26,34
369,5,7,10,13,20,29
370,1,2,6,8,20,37
371,1,13,16,32,33,37
372,15,16,18,20,28,37
373,3,7,9,23,25,33
374,11,13,17,18,32,35
375,11,19,23,27,30,36
376,14,19,21,22,23,32
377,4,10,15,18,26,32
378,2,4,20,23,25,35
379,7,21,25,27,30,31
380,6,16,18,28,33,37
381,1,15,22,23,29,33
382,7,8,15,20,27,29
383,4,8,10,14,21,35
384,5,6,12,16,25,33
385,1,19,20,32,34,35
386,5,9,13,14,17,33
387,9,21,25,27,32,34
388,8,12,26,28,32,33
389,12,14,16,17,31,36
390,3,4,17,22,27,34
391,1,4,6,30,35,36
392,5,9,12,28,30,36
393,8,21,23,24,36,37
394,6,16,23,25,27,30
395,7,14,16,31,32,35
396,2,6,9,27,35,37
397,1,7,12,18,31,33
398,1,5,8,15,17,31
399,2,17,18,29,31,32
400,2,11,16,21,22,31
401,1,6,7,16,26,36
402,4,13,15,22,30,37
403,2,5,12,14,29,33
404,2,3,5,9,24,32
405,6,15,28,31,34,35
406,2,15,20,26,27,30
407,8,9,10,17,30,34
408,9,10,16,20,32,34
409,6,17,20,25,33,36
410,2,5,8,22,24,29
411,6,7,14,19,20,28
412,4,7,9,14,20,22
413,2,10,15,17,18,24
414,3,8,31,32,34,35
415,2,6,14,19,27,29
416,10,16,19,30,34,37
417,1,19,21,26,30,33
418,9,11,14,19,23,33
419,1,11,27,29,33,37
420,3,13,20,26,29,35
421,1,15,19,23,28,32
422,5,14,15,19,20,31
423,4,5,10,16,17,18
424,3,4,6,8,14,35
425,1,5,12,22,34,37
426,8,14,16,26,32,35
427,6,8,12,13,32,35
428,1,22,32,33,35,37
429,3,19,25,30,33,34
430,5,6,7,14,26,37
431,2,11,22,32,35,37
432,2,8,16,19,29,33
433,7,16,17,27,32,37
434,3,12,13,17,18,36
435,6,10,29,32,33,34
436,1,7,10,24,28,37
437,1,4,6,17,20,34
438,1,3,18,21,23,36
439,2,6,9,12,16,18
440,4,5,6,9,20,37
441,9,16,21,25,27,36
442,11,13,17,24,34,36
443,1,13,15,27,31,35
444,11,17,25,33,35,36
445,6,10,22,25,30,37
446,1,14,25,29,30,33
447,11,19,20,27,30,37
448,6,10,11,24,32,36
449,4,13,17,28,35,37
450,1,10,28,31,32,35
451,14,17,25,26,29,35
452,3,4,7,18,22,23
453,13,15,16,28,31,32
454,1,10,12,14,27,29
455,4,18,19,23,24,37
456,8,18,26,29,31,36
457,1,28,29,30,32,34
458,10,11,14,24,27,35
459,17,22,26,28,34,36
460,3,10,11,17,24,36
461,4,11,16,25,35,36
462,1,9,13,19,20,34
463,4,7,8,9,16,31
464,4,13,17,19,25,37
465,3,13,14,20,22,23
466,10,12,15,19,27,28
467,1,6,19,22,25,32
468,4,5,19,24,31,37
469,1,4,11,14,17,22
470,3,10,16,25,29,32
471,17,20,22,24,28,32
472,3,27,29,31,32,33
473,1,8,13,21,25,31
474,1,12,16,20,30,36
475,6,18,19,23,24,28
476,7,8,11,14,16,22
477,9,10,11,13,15,21
478,1,12,17,21,25,26
479,8,19,26,30,31,36
480,2,8,15,27,31,35
481,1,8,15,22,31,35
482,12,13,15,17,25,31
483,10,13,14,19,20,25
484,1,3,6,9,14,28
485,3,4,5,18,23,29
486,4,5,19,25,31,32
487,1,11,17,21,33,34
488,4,6,10,18,22,25
489,1,15,20,22,23,31
490,3,5,7,18,23,27
491,3,22,24,25,28,37
492,7,11,12,25,28,31
493,6,20,25,30,33,35
494,12,14,15,18,20,21
495,11,14,19,20,21,26
496,2,21,25,27,28,36
497,20,25,28,34,36,37
498,5,6,12,16,29,34
499,12,15,21,24,30,32
500,3,9,23,24,25,26
501,3,9,11,13,21,25
502,10,11,17,21,23,32
503,3,7,9,21,22,33
504,4,13,18,22,28,34
505,1,6,12,17,22,26
506,11,18,19,25,35,37
507,1,13,20,25,31,33
508,11,12,26,34,36,37
509,3,10,13,17,33,37
510,4,9,17,26,27,37
511,6,7,17,28,33,36
512,8,15,20,24,25,33
513,5,8,14,15,18,25
514,6,9,13,20,26,36
515,8,14,20,23,24,28
516,7,13,15,16,20,31
517,3,7,11,17,19,31
518,12,13,19,21,35,36
519,6,9,10,11,18,29
520,16,17,19,29,34,37
521,3,16,19,22,25,26
522,1,3,4,13,23,28
523,1,10,18,25,31,36
524,15,21,23,27,36,37
525,8,11,13,18,25,31
526,1,3,7,9,15,22
527,7,8,25,31,32,35
528,3,5,8,18,19,29
529,2,12,14,18,22,25
530,3,5,16,18,21,26
531,6,16,23,24,30,33
532,9,20,25,27,34,37
533,16,18,20,22,24,25
534,8,9,13,14,27,29
535,2,7,9,19,24,25
536,4,8,13,20,27,29
537,6,7,11,17,22,29
538,11,17,19,25,27,28
539,4,16,23,29,35,36
540,7,20,21,25,35,37
541,8,13,14,27,30,37
542,1,5,15,17,23,37
543,6,16,21,27,28,29
544,1,3,13,17,21,32
545,7,14,18,27,34,37
546,4,12,21,24,35,37
547,1,8,15,16,20,31
548,6,13,22,25,29,37
549,7,11,18,20,21,22
550,2,12,16,17,28,36
551,4,8,13,18,21,32
552,7,8,11,20,30,37
553,4,6,20,23,28,34
554,1,4,7,8,12,16
555,7,9,12,16,27,33
556,9,18,24,28,30,36
557,1,4,27,34,36,37
558,10,13,18,26,31,33
559,1,5,11,12,22,27
560,1,3,18,20,23,37
561,7,13,16,18,19,28
562,4,5,8,25,26,33
563,2,6,17,22,30,33
564,9,16,22,23,25,28
565,2,9,11,16,23,35
566,2,14,25,26,32,33
567,6,9,26,29,36,37
568,2,9,15,26,29,35
569,3,11,13,25,28,35
570,13,19,21,27,29,32
571,11,22,27,32,34,36
572,2,7,8,9,10,15
